word,source,date,title,frequency
Les,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
chercheurs,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,2
américains,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,2
vivent,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
avec,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
la,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,9
peur,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
qu'on,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
leur,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,2
éteigne,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
lumière.,https://www.slate.fr/monde/trump-science-attaques-climat-universite-france-marseille-censure-woke,6 mars 2025 à 20h55,La France va accueillir des scientifiques américains craignant la censure imposée par l'administration Trump,1
